Time,device_frmpayload_data_rainfall
2023-11-23 4:51:26,0 mm
2023-11-23 4:54:26,0 mm
2023-11-23 4:57:25,0 mm
2023-11-23 5:00:25,0 mm
2023-11-23 5:03:25,0 mm
2023-11-23 5:06:25,0 mm
2023-11-23 5:09:25,0 mm
2023-11-23 5:12:25,0 mm
2023-11-23 5:15:25,0 mm
2023-11-23 5:18:25,0 mm
2023-11-23 5:21:25,0 mm
2023-11-23 5:24:25,0 mm
2023-11-23 5:27:25,0 mm
2023-11-23 5:30:25,0 mm
2023-11-23 5:33:25,0 mm
2023-11-23 5:36:25,0 mm
2023-11-23 5:39:25,0 mm
2023-11-23 5:42:25,200 µm
2023-11-23 5:45:25,0 mm
2023-11-23 5:48:25,0 mm
2023-11-23 5:51:25,0 mm
2023-11-23 5:54:25,0 mm
2023-11-23 5:57:25,0 mm
2023-11-23 6:00:25,0 mm
2023-11-23 6:03:25,0 mm
2023-11-23 6:06:25,0 mm
2023-11-23 6:09:25,0 mm
2023-11-23 6:12:25,0 mm
2023-11-23 6:15:25,0 mm
2023-11-23 6:18:25,0 mm
2023-11-23 6:21:25,200 µm
2023-11-23 6:24:25,0 mm
2023-11-23 6:27:25,0 mm
2023-11-23 6:30:25,0 mm
2023-11-23 6:33:25,0 mm
2023-11-23 6:36:25,0 mm
2023-11-23 6:39:25,0 mm
2023-11-23 6:42:25,0 mm
2023-11-23 6:45:25,0 mm
2023-11-23 6:48:25,0 mm
2023-11-23 6:51:25,0 mm
2023-11-23 6:54:25,0 mm
2023-11-23 6:57:25,0 mm
2023-11-23 7:00:25,0 mm
2023-11-23 7:03:25,0 mm
2023-11-23 7:06:25,0 mm
2023-11-23 7:09:25,0 mm
2023-11-23 7:12:25,0 mm
2023-11-23 7:15:25,0 mm
2023-11-23 7:18:25,0 mm
2023-11-23 7:21:25,0 mm
2023-11-23 7:24:25,0 mm
2023-11-23 7:27:25,0 mm
2023-11-23 7:30:25,200 µm
2023-11-23 7:33:25,0 mm
2023-11-23 7:36:25,0 mm
2023-11-23 7:39:25,0 mm
2023-11-23 7:42:25,0 mm
2023-11-23 7:45:25,0 mm
2023-11-23 7:48:25,0 mm
2023-11-23 7:51:25,0 mm
2023-11-23 7:54:25,0 mm
2023-11-23 7:57:25,0 mm
2023-12-02 1:00:07,0 mm
2023-12-02 1:03:07,0 mm
2023-12-02 1:06:07,0 mm
2023-12-02 1:09:07,0 mm
2023-12-02 1:12:07,0 mm
2023-12-02 1:15:07,0 mm
2023-12-02 1:18:07,0 mm
2023-12-02 1:21:07,0 mm
2023-12-02 1:24:07,0 mm
2023-12-02 1:27:07,0 mm
2023-12-02 1:30:07,0 mm
2023-12-02 1:33:07,0 mm
2023-12-02 1:36:07,0 mm
2023-12-02 1:39:07,400 µm
2023-12-02 1:42:07,800 µm
2023-12-02 1:45:07,1.6 mm
2023-12-02 1:48:07,1.8 mm
2023-12-02 1:51:07,800 µm
2023-12-02 1:54:07,1 mm
2023-12-02 1:57:07,600 µm
2023-12-02 2:00:07,1 mm
2023-12-02 2:03:07,1.6 mm
2023-12-02 2:06:07,2.6 mm
2023-12-02 2:09:07,3.2 mm
2023-12-02 2:12:07,3 mm
2023-12-02 2:15:07,2.6 mm
2023-12-02 2:18:07,2.4 mm
2023-12-02 2:21:07,2.6 mm
2023-12-02 2:24:07,2.6 mm
2023-12-02 2:27:07,2.4 mm
2023-12-02 2:30:07,2.8 mm
2023-12-02 2:33:07,2.2 mm
2023-12-02 2:36:07,1.2 mm
2023-12-02 2:42:07,1.4 mm
2023-12-02 2:45:07,800 µm
2023-12-02 2:48:07,600 µm
2023-12-02 2:51:07,400 µm
2023-12-02 2:54:07,400 µm
2023-12-02 2:57:07,200 µm
2023-12-08 17:26:53,0 mm
2023-12-08 17:29:53,600 µm
2023-12-08 17:32:53,1 mm
2023-12-08 17:35:53,2 mm
2023-12-08 17:38:53,1.4 mm
2023-12-08 17:41:53,2.4 mm
2023-12-08 17:44:53,1.6 mm
2023-12-08 17:47:53,1.6 mm
2023-12-08 17:50:53,1.8 mm
2023-12-08 17:53:53,400 µm
2023-12-08 17:59:53,0 mm
2023-12-16 13:02:37,0 mm
2023-12-16 13:05:37,0 mm
2023-12-16 13:17:37,200 µm
2023-12-16 13:20:37,0 mm
2023-12-16 13:23:37,0 mm
2023-12-16 13:26:37,0 mm
