Time,device_frmpayload_data_rainfall
2023-11-22 8:48:27,0 mm
2023-11-22 8:51:27,0 mm
2023-11-22 8:54:27,0 mm
2023-11-22 8:57:27,0 mm
2023-11-22 9:00:27,0 mm
2023-11-22 9:03:27,0 mm
2023-11-22 9:06:27,0 mm
2023-11-22 9:09:27,0 mm
2023-11-22 9:12:27,0 mm
2023-11-22 9:15:27,0 mm
2023-11-22 9:18:27,0 mm
2023-11-22 9:21:27,0 mm
2023-11-22 9:24:27,0 mm
2023-11-22 9:27:27,0 mm
2023-11-22 9:30:27,0 mm
2023-11-22 9:33:27,0 mm
2023-11-22 9:36:27,0 mm
2023-11-22 9:39:27,0 mm
2023-11-22 9:42:27,0 mm
2023-11-22 9:45:27,0 mm
2023-11-22 9:48:27,0 mm
2023-11-22 9:51:27,0 mm
2023-11-22 9:54:27,0 mm
2023-11-22 9:57:27,0 mm
2023-11-22 10:00:27,0 mm
2023-11-22 10:03:27,0 mm
2023-11-22 10:06:27,0 mm
2023-11-22 10:09:27,0 mm
2023-11-22 10:12:27,0 mm
2023-11-22 10:15:27,0 mm
2023-11-22 10:18:27,0 mm
2023-11-22 10:21:27,0 mm
2023-11-22 10:24:27,0 mm
2023-11-22 10:27:27,0 mm
2023-11-22 10:30:27,0 mm
2023-11-22 10:33:27,0 mm
2023-11-22 10:36:27,0 mm
2023-11-22 10:39:27,0 mm
2023-11-22 10:42:27,0 mm
2023-11-22 10:45:27,0 mm
2023-11-22 10:48:27,0 mm
2023-11-22 10:51:27,0 mm
2023-11-22 10:54:27,0 mm
2023-11-22 10:57:27,0 mm
2023-11-22 11:00:27,0 mm
2023-11-22 11:03:27,0 mm
2023-11-22 11:06:27,0 mm
2023-11-22 11:09:27,0 mm
2023-11-22 11:12:27,0 mm
2023-11-22 11:15:27,0 mm
2023-11-22 11:18:27,0 mm
2023-11-22 11:21:27,0 mm
2023-11-22 11:24:27,0 mm
2023-11-22 11:27:27,0 mm
2023-11-22 11:30:27,0 mm
2023-11-22 11:33:27,0 mm
2023-11-22 11:36:27,0 mm
2023-11-22 11:39:27,0 mm
2023-11-22 11:42:27,0 mm
2023-11-22 11:45:27,0 mm
2023-11-22 11:48:27,0 mm
2023-11-22 11:51:27,0 mm
2023-11-22 11:54:27,0 mm
2023-11-22 11:57:27,0 mm
2023-11-22 12:00:27,0 mm
2023-11-22 12:03:27,0 mm
2023-11-22 12:06:27,0 mm
2023-11-22 12:09:27,0 mm
2023-11-22 12:12:27,0 mm
2023-11-22 12:15:27,0 mm
2023-11-22 12:18:27,0 mm
2023-11-22 12:21:27,0 mm
2023-11-22 12:24:27,0 mm
2023-11-22 12:27:27,0 mm
2023-11-22 12:30:27,0 mm
2023-11-22 12:33:27,0 mm
2023-11-22 12:36:27,0 mm
2023-11-22 12:39:27,0 mm
2023-11-22 12:42:27,0 mm
2023-11-22 12:45:27,0 mm
2023-11-22 12:48:27,0 mm
2023-11-22 12:51:27,0 mm
2023-11-22 12:54:27,0 mm
2023-11-22 12:57:27,0 mm
2023-11-22 13:00:27,0 mm
2023-11-22 13:03:27,0 mm
2023-11-22 13:06:27,200 µm
2023-11-22 13:09:27,0 mm
2023-11-22 13:12:27,0 mm
2023-11-22 13:15:27,200 µm
2023-11-22 13:18:27,200 µm
2023-11-22 13:21:27,200 µm
2023-11-22 13:24:27,200 µm
2023-11-22 13:27:27,200 µm
2023-11-22 13:30:27,0 mm
2023-11-22 13:33:27,200 µm
2023-11-22 13:36:27,0 mm
2023-11-22 13:39:27,0 mm
2023-11-22 13:42:27,200 µm
2023-11-22 13:45:27,0 mm
2023-11-22 13:48:27,0 mm
2023-11-22 13:51:27,0 mm
2023-11-22 13:54:27,0 mm
2023-11-22 13:57:27,0 mm
2023-11-22 14:00:27,0 mm
2023-11-22 14:03:27,0 mm
2023-11-22 14:06:27,0 mm
2023-11-22 14:09:27,0 mm
2023-11-22 14:12:27,0 mm
2023-11-22 14:15:27,0 mm
2023-11-22 14:18:27,0 mm
2023-11-22 14:21:27,0 mm
2023-11-22 14:24:27,0 mm
2023-11-22 14:27:27,0 mm
2023-11-22 14:30:27,0 mm
2023-11-22 14:33:27,0 mm
2023-11-22 14:36:27,0 mm
2023-11-22 14:39:27,0 mm
2023-11-22 14:42:27,0 mm
2023-11-22 14:45:27,0 mm
2023-11-22 14:48:27,0 mm
2023-11-22 14:51:27,0 mm
2023-11-22 14:54:27,0 mm
2023-11-22 14:57:27,0 mm
2023-11-22 15:00:27,0 mm
2023-11-22 15:03:27,400 µm
2023-11-22 15:06:27,600 µm
2023-11-22 15:09:27,200 µm
2023-11-22 15:12:27,1.20 mm
2023-11-22 15:15:27,2.20 mm
2023-11-22 15:18:27,600 µm
2023-11-22 15:21:27,400 µm
2023-11-22 15:24:27,0 mm
2023-11-22 15:27:27,0 mm
2023-11-22 15:30:27,0 mm
2023-11-22 15:33:27,0 mm
2023-11-22 15:36:27,0 mm
2023-11-22 15:39:27,0 mm
2023-11-22 15:42:27,0 mm
2023-11-22 15:45:27,0 mm
2023-11-22 15:48:27,0 mm
2023-11-22 15:51:27,0 mm
2023-11-22 15:54:27,0 mm
2023-11-22 15:57:27,0 mm
2023-11-22 16:00:27,0 mm
2023-11-22 16:03:27,0 mm
2023-11-22 16:06:27,0 mm
2023-11-22 16:09:27,0 mm
2023-11-22 16:12:27,0 mm
2023-11-22 16:15:27,0 mm
2023-11-22 16:18:27,0 mm
2023-11-22 16:21:27,0 mm
2023-11-22 16:24:27,0 mm
2023-11-22 16:27:27,0 mm
2023-11-22 16:30:27,0 mm
2023-11-22 16:33:27,0 mm
2023-11-22 16:36:27,0 mm
2023-11-22 16:39:27,200 µm
2023-11-22 16:42:27,0 mm
2023-11-22 16:45:27,200 µm
2023-11-22 16:48:27,0 mm
2023-11-22 16:51:27,200 µm
2023-11-22 16:54:27,400 µm
2023-11-22 16:57:27,0 mm
2023-11-22 17:00:27,200 µm
2023-11-22 17:03:27,0 mm
2023-11-22 17:06:27,0 mm
2023-11-22 17:09:27,0 mm
2023-11-22 17:12:27,0 mm
2023-11-22 17:15:27,200 µm
2023-11-22 17:18:27,400 µm
2023-11-22 17:21:27,200 µm
2023-11-22 17:24:27,400 µm
2023-11-22 17:27:27,200 µm
2023-11-22 17:30:27,200 µm
2023-11-22 17:33:27,0 mm
2023-11-22 17:36:27,200 µm
2023-11-22 17:39:27,800 µm
2023-11-22 17:42:27,200 µm
2023-11-22 17:45:27,200 µm
2023-11-22 17:48:27,0 mm
2023-11-22 17:51:27,0 mm
2023-11-22 17:54:27,0 mm
2023-11-22 17:57:26,0 mm
2023-11-22 18:00:26,200 µm
2023-11-22 18:03:26,400 µm
2023-11-22 18:06:26,600 µm
2023-11-22 18:09:26,1.20 mm
2023-11-22 18:12:26,2.20 mm
2023-11-22 18:15:26,1.40 mm
2023-11-22 18:18:26,1.20 mm
2023-11-22 18:21:26,600 µm
2023-11-22 18:24:26,800 µm
2023-11-22 18:27:26,800 µm
2023-11-22 18:30:26,1.40 mm
2023-11-22 18:33:26,1 mm
2023-11-22 18:36:26,1.40 mm
2023-11-22 18:39:26,200 µm
2023-11-22 18:42:26,200 µm
2023-11-22 18:45:26,200 µm
2023-11-22 18:48:26,0 mm
2023-11-22 18:51:26,600 µm
2023-11-22 18:54:26,600 µm
2023-11-22 18:57:26,200 µm
2023-11-22 19:00:26,400 µm
2023-11-22 19:06:26,200 µm
2023-11-22 19:09:26,0 mm
2023-11-22 19:12:26,0 mm
